openTime,open,high,low,close,volume
2023/1/1 0:00,16541.77,16559.77,16508.39,16533.04,15515.82327
2023/1/1 4:00,16533.04,16550,16499.01,16526.19,16532.24115
2023/1/1 8:00,16525.7,16557,16505.2,16556.66,15915.96701
2023/1/1 12:00,16556.66,16572.94,16533.68,16558.73,15046.09096
2023/1/1 16:00,16558.73,16623.65,16558,16603.08,18532.64857
2023/1/1 20:00,16603.53,16628,16586.24,16616.75,15382.64278
2023/1/2 0:00,16617.17,16707.25,16548.7,16661.94,19463.4751
2023/1/2 4:00,16662.38,16769.51,16619.44,16721.28,26026.88178
2023/1/2 8:00,16721.27,16772.01,16704.07,16735.11,23267.94119
2023/1/2 12:00,16735.51,16750,16669.15,16734.66,21747.21491
2023/1/2 16:00,16734.66,16739.64,16707.12,16737.56,12314.73653
2023/1/2 20:00,16737.56,16799.23,16660.51,16672.87,19068.3224
2023/1/3 0:00,16672.78,16706.14,16647.81,16691.81,20183.45596
2023/1/3 4:00,16691.81,16778.4,16681.79,16729.74,21434.34333
2023/1/3 8:00,16730.15,16766,16698.15,16721.03,25576.16376
2023/1/3 12:00,16721.42,16773,16617.79,16676.94,42131.78382
2023/1/3 16:00,16677.54,16688.2,16605.28,16643.37,29519.13275
2023/1/3 20:00,16643.77,16695,16640.4,16675.18,20696.65771
2023/1/4 0:00,16675.65,16877.65,16652.66,16862.02,41904.57254
2023/1/4 4:00,16862.61,16910.98,16840.36,16869.44,30270.2531
2023/1/4 8:00,16869.49,16919,16831.13,16835.35,30320.64004
2023/1/4 12:00,16835.35,16863.09,16765.3,16854.05,40843.05953
2023/1/4 16:00,16853.55,16991.87,16787.85,16842.36,52076.35176
2023/1/4 20:00,16842.32,16869.56,16777,16850.36,24947.31165
2023/1/5 0:00,16850.36,16878.18,16807.72,16827.71,21763.76721
2023/1/5 4:00,16827.71,16849.37,16789.87,16823.64,21213.55835
2023/1/5 8:00,16823.05,16839,16780.75,16833.6,26296.22105
2023/1/5 12:00,16833.6,16879.82,16753,16842.94,41963.23448
2023/1/5 16:00,16842.94,16875.5,16800.5,16863.85,30157.4645
2023/1/5 20:00,16864.29,16873.52,16818.91,16831.85,22079.32082
2023/1/6 0:00,16831.85,16872.57,16802.01,16833.56,22896.56633
