openTime,open,high,low,close,volume,MA20,isValidChange,ChangeRate,MaxValidChangeRate
2023/1/1 0:00,16541.77,16559.77,16508.39,16533.04,15515.82327,,,-0.05277548895915953,
2023/1/1 4:00,16533.04,16550.0,16499.01,16526.19,16532.24115,,,-0.041432186700099814,
2023/1/1 8:00,16525.7,16557.0,16505.2,16556.66,15915.96701,,,0.1873445602909355,
2023/1/1 12:00,16556.66,16572.94,16533.68,16558.73,15046.09096,,,0.012502521643856361,
2023/1/1 16:00,16558.73,16623.65,16558.0,16603.08,18532.64857,,,0.26783455011345786,
2023/1/1 20:00,16603.53,16628.0,16586.24,16616.75,15382.64278,,,0.0796216226308572,
2023/1/2 0:00,16617.17,16707.25,16548.7,16661.94,19463.4751,,,0.2694201238839131,
2023/1/2 4:00,16662.38,16769.51,16619.44,16721.28,26026.88178,,,0.3534909178640615,
2023/1/2 8:00,16721.27,16772.01,16704.07,16735.11,23267.94119,,,0.08276883275014484,
2023/1/2 12:00,16735.51,16750.0,16669.15,16734.66,21747.21491,,,-0.00507902059751119,
2023/1/2 16:00,16734.66,16739.64,16707.12,16737.56,12314.73653,,,0.017329303373964305,
2023/1/2 20:00,16737.56,16799.23,16660.51,16672.87,19068.3224,,,-0.38649600061181155,
2023/1/3 0:00,16672.78,16706.14,16647.81,16691.81,20183.45596,,,0.11413813413241507,
2023/1/3 4:00,16691.81,16778.4,16681.79,16729.74,21434.34333,,,0.22723718997520514,
2023/1/3 8:00,16730.15,16766.0,16698.15,16721.03,25576.16376,,,-0.05451236241158997,
2023/1/3 12:00,16721.42,16773.0,16617.79,16676.94,42131.78382,,,-0.2660061167053968,
2023/1/3 16:00,16677.54,16688.2,16605.28,16643.37,29519.13275,,,-0.20488633215691218,
2023/1/3 20:00,16643.77,16695.0,16640.4,16675.18,20696.65771,,,0.188719262522853,
2023/1/4 0:00,16675.65,16877.65,16652.66,16862.02,41904.57254,,,1.1176176041113777,
2023/1/4 4:00,16862.61,16910.98,16840.36,16869.44,30270.2531,16676.370000000003,,0.040503812873559364,
2023/1/4 8:00,16869.49,16919.0,16831.13,16835.35,30320.64004,16691.485500000003,,-0.20237719101172028,
2023/1/4 12:00,16835.35,16863.09,16765.3,16854.05,40843.05953,16707.8785,,0.11107580180988652,
2023/1/4 16:00,16853.55,16991.87,16787.85,16842.36,52076.35176,16722.1635,,-0.06639550717800517,
2023/1/4 20:00,16842.32,16869.56,16777.0,16850.36,24947.31165,16736.745000000003,,0.04773689135464042,
2023/1/5 0:00,16850.36,16878.18,16807.72,16827.71,21763.76721,16747.976499999997,,-0.13441849313606033,
2023/1/5 4:00,16827.71,16849.37,16789.87,16823.64,21213.55835,16758.321,,-0.024186297481949174,
2023/1/5 8:00,16823.05,16839.0,16780.75,16833.6,26296.22105,16766.904,,0.06271157727046685,
2023/1/5 12:00,16833.6,16879.82,16753.0,16842.94,41963.23448,16772.987,,0.05548426955612672,
2023/1/5 16:00,16842.94,16875.5,16800.5,16863.85,30157.4645,16779.424000000003,,0.12414697196570108,
2023/1/5 20:00,16864.29,16873.52,16818.91,16831.85,22079.32082,16784.283499999998,,-0.1923591209591529,
2023/1/6 0:00,16831.85,16872.57,16802.01,16833.56,22896.56633,16789.0835,,0.01015931106802143,
2023/1/6 4:00,16833.56,16837.87,16779.96,16794.06,24759.51652,16795.143,,-0.23465030569885395,
2023/1/6 8:00,16794.33,16812.22,16709.88,16738.22,29976.56156,16797.4635,,-0.33410085427641695,
2023/1/6 12:00,16738.74,16849.0,16679.0,16840.82,52584.91113,16803.0175,1,0.6098427958137715,0.6098427958137715
2023/1/6 16:00,16840.1,16965.41,16805.04,16939.91,42771.69765,16813.961499999998,,0.5926924424439363,
2023/1/6 20:00,16940.41,17041.0,16886.21,16950.65,34412.03096,16827.647,,0.06044717925954331,
2023/1/7 0:00,16950.31,16981.91,16930.46,16952.46,17943.00432,16843.101499999997,,0.012684133800489885,
2023/1/7 4:00,16952.73,16954.45,16922.14,16948.09,15480.43183,16856.747,,-0.027370222967034917,
2023/1/7 8:00,16948.18,16954.95,16908.07,16918.3,18936.72265,16859.560999999998,,-0.17630211621543446,
2023/1/7 12:00,16918.3,16947.7,16908.0,16940.42,20650.09476,16863.109999999997,,0.13074599693822064,
2023/1/7 16:00,16940.6,16946.13,16916.0,16944.05,16073.99982,16868.545,,0.020365276318434575,
2023/1/7 20:00,16944.05,16951.92,16929.46,16943.57,15442.31542,16873.021,,-0.002832852830341999,
2023/1/8 0:00,16943.83,16955.0,16911.0,16944.02,18295.79671,16878.104,,0.0011213521382042332,
2023/1/8 4:00,16944.02,16957.12,16933.26,16953.77,14667.61069,16883.2745,,0.05754242499713763,
2023/1/8 8:00,16953.77,16967.67,16925.05,16927.42,20434.41029,16888.260000000002,,-0.155422658205238,
